t,delay_rel_hand,delay_rel_auto,T_top,T_bot,u_auto
0.0,0.0,0.0,25.0,25.0,0.0
0.001,0.0,0.0,25.0003,25.0,0.0
0.002,8.189999356392685e-10,8.189999356392685e-10,25.0005997,25.00000021,3.07767244235306e-10
0.003,2.455361879243077e-09,2.455361879243077e-09,25.000899100299925,25.00000062958,9.229692832202638e-10
0.004,4.9074504274915935e-09,4.9074504274915935e-09,25.001198201199404,25.00000125832063,1.8452740499911384e-09
0.005,8.173632196548904e-09,8.173632196548904e-09,25.001497002997763,25.00000209580315,3.074349671256024e-09
0.006,1.2252276705587226e-08,1.2252276705587226e-08,25.00179550599403,25.000003141609447,4.609864800107255e-09
0.007,1.7141756124351415e-08,1.7141756124351415e-08,25.00209371048693,25.000004395322033,6.4514885221634545e-09
0.008,2.2840443758546036e-08,2.2840443758546036e-08,25.002391616774894,25.00000585652405,8.598889787317986e-09
0.009000000000000001,2.934671707906123e-08,2.934671707906123e-08,25.002689225156054,25.00000752479927,1.1051738548466803e-08
0.01,3.665895507140007e-08,3.665895507140007e-08,25.002986535928244,25.00000939973208,1.380970476690466e-08
0.011,4.477553937163829e-08,4.477553937163829e-08,25.003283549389,25.000011480907496,1.6872458839724295e-08
0.012,5.369485338290003e-08,5.369485338290003e-08,25.003580265835563,25.00001376791116,2.0239671268718058e-08
0.013000000000000001,6.341528442105954e-08,6.341528442105954e-08,25.00387668556487,25.000016260329332,2.391101346730943e-08
0.014,7.39352205592975e-08,7.39352205592975e-08,25.004172808873566,25.0000189577489,2.788615657613944e-08
0.015,8.525305365732698e-08,8.525305365732698e-08,25.004468636058,25.00002185975736,3.216477260166366e-08
0.016,9.736717708947398e-08,9.736717708947398e-08,25.004764167414223,25.000024965942846,3.674653356370942e-08
0.017,1.1027598675441937e-07,1.1027598700685486e-07,25.00505940323799,25.000028275894092,4.163111197030566e-08
0.018000000000000002,1.2397788145385218e-07,1.2397788183250542e-07,25.00535434382476,25.000031789200463,4.681818062892009e-08
0.019,1.384712621351631e-07,1.3847126251381632e-07,25.005648989469698,25.00003550545194,5.230741274210563e-08
0.02,1.5375453227009767e-07,1.537545326487509e-07,25.005943340467674,25.000039424239116,5.809848195580353e-08
0.021,1.6982609709744996e-07,1.6982609734988544e-07,25.006237397113264,25.000043545153204,6.419106193338374e-08
0.022,1.8668436501145753e-07,1.866843655163285e-07,25.006531159700746,25.00004786778603,7.058482720991975e-08
0.023,2.0432774655205969e-07,2.043277471831484e-07,25.006824628524104,25.000052391730033,7.727945219745405e-08
0.024,2.2275465453111515e-07,2.2275465516220388e-07,25.007117803877033,25.00005711657827,8.427461180198883e-08
0.025,2.4196350428483747e-07,2.419635051683617e-07,25.007410686052932,25.000062041924405,9.156998147187645e-08
0.026000000000000002,2.619527136737952e-07,2.619527145573194e-07,25.007703275344902,25.00006716736272,9.916523672451634e-08
0.027,2.8272070232560517e-07,2.827207035877826e-07,25.007995572045758,25.000072492488098,1.0706005362122848e-07
0.028,3.0426589314954577e-07,3.042658944117232e-07,25.008287576448016,25.00007801689604,1.1525410838881163e-07
0.029,3.2658671069572586e-07,3.265867123365565e-07,25.008579288843908,25.000083740182657,1.2374707789450397e-07
0.03,3.496815822910448e-07,3.4968158405809325e-07,25.008870709525365,25.000089661944664,1.3253863898304487e-07
0.031,3.735489375343215e-07,3.7354893942758765e-07,25.00916183878403,25.000095781779386,1.4162846914118351e-07
0.032,3.981872082962939e-07,3.981872104419956e-07,25.009452676911256,25.000102099284756,1.5101624611932452e-07
0.033,4.2359482871961975e-07,4.235948311177569e-07,25.0097432241981,25.00010861405931,1.6070164788483875e-07
0.034,4.497702354713114e-07,4.4977023862675504e-07,25.010033480935334,25.00011532570219,1.7068435304963714e-07
0.035,4.767118679951718e-07,4.767118714030509e-07,25.010323447413434,25.00012223381314,1.8096404015980154e-07
0.036000000000000004,5.044181669971812e-07,5.044181707837136e-07,25.01061312392259,25.000129337992515,1.9154038831261944e-07
0.037,5.328875767174167e-07,5.328875810088201e-07,25.010902510752697,25.00013663784127,2.0241307715758708e-07
0.038,5.621185429105686e-07,5.621185475806251e-07,25.011191608193364,25.000144132960955,2.1358178628081453e-07
0.039,5.921095142343349e-07,5.921095196616979e-07,25.01148041653391,25.00015182295373,2.2504619610664424e-07
0.04,6.228589412396801e-07,6.228589469194787e-07,25.011768936063365,25.00015970742235,2.368059867131499e-07
0.041,6.543652770019236e-07,6.54365283691464e-07,25.01205716707047,25.00016778597017,2.488608393975219e-07
0.042,6.866269772469571e-07,6.866269844413685e-07,25.01234510984367,25.00017605820115,2.61210434970179e-07
0.043000000000000003,7.196424993415034e-07,7.196425072932213e-07,25.01263276467114,25.000184523719838,2.73854455082869e-07
0.044,7.53410303681511e-07,7.534103122643176e-07,25.012920131840744,25.000193182131387,2.867925815659052e-07
0.045,7.879288524299767e-07,7.879288618963076e-07,25.013207211640072,25.000202033041543,3.000244966659744e-07
0.046,8.231966104004702e-07,8.231966208765431e-07,25.013494004356428,25.000211076056647,3.135498829047167e-07
0.047,8.592120445522627e-07,8.592120561642952e-07,25.01378051027682,25.00022031078364,3.273684231268979e-07
0.048,8.95973624495198e-07,8.959736372431902e-07,25.014066729687976,25.00022973683005,3.414798005960566e-07
0.049,9.334798217323862e-07,9.334798356163382e-07,25.014352662876334,25.000239353804,3.558836988056532e-07
0.05,9.7172911041751e-07,9.717291254374216e-07,25.014638310128046,25.000249161314212,3.705798017169217e-07
0.051000000000000004,1.010719966723736e-06,1.0107199830058251e-06,25.01492367172898,25.00025915896999,3.855677935700629e-07
0.052000000000000005,1.0504508693485857e-06,1.0504508867666344e-06,25.015208747964714,25.00026934638123,4.0084735888498605e-07
0.053,1.0909202990090644e-06,1.0909203178155084e-06,25.015493539120545,25.000279723158425,4.1641818265177326e-07
0.054,1.1321267389465326e-06,1.1321267593938071e-06,25.015778045481483,25.00029028891265,4.3227995014187244e-07
0.055,1.1740686749267053e-06,1.1740686966361574e-06,25.016062267332256,25.000301043255575,4.4843234681397816e-07
0.056,1.216744594103693e-06,1.216744617958847e-06,25.0163462049573,25.000311985799453,4.6487505883642284e-07
0.057,1.2601529874181387e-06,1.2601530127879054e-06,25.016629858640773,25.000323116157123,4.816077722345592e-07
0.058,1.3042923465679912e-06,1.3042923738310242e-06,25.016913228666546,25.000334433942015,4.986301737448611e-07
0.059000000000000004,1.3491611665328613e-06,1.3491611955629426e-06,25.01719631531821,25.000345938768138,5.1594195024689e-07
0.06,1.3947579439331904e-06,1.394757975235191e-06,25.017479118879066,25.000357630250093,5.335427891433505e-07
0.061,1.4410811786710809e-06,1.4410812118663478e-06,25.017761639632138,25.000369508003057,5.514323779816054e-07
0.062,1.4881293711535064e-06,1.4881294067469104e-06,25.018043877860162,25.000381571642798,5.69610404644008e-07
0.063,1.5359010258264085e-06,1.535901064070385e-06,25.018325833845594,25.000393820785657,5.880765575858422e-07
0.064,1.584394648902777e-06,1.584394689418673e-06,25.01860750787061,25.000406255048564,6.068305252671563e-07
0.065,1.633608747857779e-06,1.6336087911504656e-06,25.0188889002171,25.000418874049025,6.258719966749814e-07
0.066,1.6835418339531146e-06,1.6835418798963737e-06,25.019170011166672,25.00043167740513,6.452006611345672e-07
0.067,1.7341924197126607e-06,1.734192468558928e-06,25.01945084100066,25.00044466473554,6.648162083101685e-07
0.068,1.7855590200584316e-06,1.7855590720601424e-06,25.019731390000103,25.000457835659503,6.84718328110968e-07
0.069,1.8376401523105786e-06,1.8376402078463863e-06,25.02001165844577,25.000471189796844,7.049067108814977e-07
0.07,1.8904343366922614e-06,1.8904343950048595e-06,25.020291646618148,25.000484726767958,7.253810470704964e-07
0.07100000000000001,1.9439400940577284e-06,1.9439401557782054e-06,25.02057135479744,25.000498446193824,7.461410278006443e-07
0.07200000000000001,1.998155948921542e-06,1.9981560143023337e-06,25.02085078326357,25.000512347695988,7.671863443953478e-07
0.073,2.053080427439096e-06,2.053080496732638e-06,25.02112993229618,25.000526430896578,7.885166884268242e-07
0.074,2.108712058290139e-06,2.1087121312439958e-06,25.02140880217464,25.000540695418287,8.101317517167988e-07
0.075,2.1650493719214677e-06,2.16504944904051e-06,25.021687393178034,25.00055514088439,8.320312267166498e-07
0.076,2.2220909016828875e-06,2.222090982967115e-06,25.021965705585167,25.00056976691873,8.542148059867164e-07
0.077,2.279835182438816e-06,2.2798352682668825e-06,25.022243739674572,25.00058457314572,8.766821824814512e-07
0.078,2.338280751956679e-06,2.3382808422023666e-06,25.022521495724494,25.000599559190345,8.994330494079556e-07
0.079,2.3974261495185163e-06,2.3974262448129136e-06,25.022798974012904,25.00061472467816,9.224671005112629e-07
0.08,2.457269917435592e-06,2.4572700176524815e-06,25.0230761748175,25.000630069235292,9.457840296009912e-07
0.081,2.517810599660002e-06,2.5178107047993837e-06,25.023353098415694,25.00064559248843,9.693835309313114e-07
0.082,2.5790467424157616e-06,2.5790468527300707e-06,25.023629745084627,25.00066129406483,9.9326529915439e-07
0.083,2.640976894072587e-06,2.6409770100666946e-06,25.02390611510116,25.000677173592326,1.017429029226356e-06
0.084,2.7035996055245497e-06,2.703599727198456e-06,25.024182208741873,25.000693230699305,1.0418744162657507e-06
0.085,2.7669134296852057e-06,2.766913557291346e-06,25.02445802628308,25.000709465014726,1.0666011559335842e-06
0.08600000000000001,2.830916921613812e-06,2.830917055530839e-06,25.024733568000816,25.000725876168108,1.0916089441497087e-06
0.08700000000000001,2.8956086390201975e-06,2.895608779248112e-06,25.02500883417083,25.00074246378954,1.1168974771409515e-06
0.088,2.9609871407501528e-06,2.9609872879200432e-06,25.025283825068605,25.00075922750967,1.1424664514418522e-06
0.089,3.0270509891835637e-06,3.0270511429167766e-06,25.025558540969346,25.000776166959707,1.1683155638005462e-06
0.09,3.093798747836276e-06,3.093798908637683e-06,25.025832982147982,25.000793281771426,1.1944445116062928e-06
0.091,3.1612289831271444e-06,3.1612291507443094e-06,25.026107148879166,25.00081057157716,1.2208529922264943e-06
0.092,3.2293402627372e-06,3.2293404380536478e-06,25.026381041437283,25.000828036009796,1.2475407037185904e-06
0.093,3.2981311576291363e-06,3.29813134102352e-06,25.026654660096437,25.00084567470279,1.274507344261984e-06
0.094,3.367600240406477e-06,3.3676004315001426e-06,25.026928005130458,25.000863487290157,1.3017526120637433e-06
0.095,3.4377460858184463e-06,3.4377462851162657e-06,25.027201076812908,25.00088147340646,1.3292762062602663e-06
0.096,3.508567270633755e-06,3.5085674785143804e-06,25.02747387541707,25.00089963268682,1.3570778258751153e-06
0.097,3.5800623743979013e-06,3.5800625911137694e-06,25.027746401215953,25.000917964766927,1.3851571704833938e-06
0.098,3.6522299779185633e-06,3.652230203722109e-06,25.0280186544823,25.000936469283012,1.4135139396909692e-06
0.099,3.7250686650326437e-06,3.72506890030252e-06,25.028290635488574,25.000955145871867,1.4421478337989824e-06
0.1,3.798577021217876e-06,3.7985772662065183e-06,25.02856234450697,25.000973994170838,1.4710585531409093e-06
0.101,3.872753634602566e-06,3.872753889688628e-06,25.028833781809407,25.000993013817823,1.5002457986522077e-06
0.10200000000000001,3.947597095082069e-06,3.947597359886898e-06,25.029104947667538,25.00101220445127,1.5297092711124313e-06
0.10300000000000001,4.0231059943187885e-06,4.02310626959969e-06,25.02937584235274,25.001031565710186,1.5594486721890082e-06
0.10400000000000001,4.099278926751917e-06,4.099279212887545e-06,25.029646466136118,25.00105109723412,1.5894637035373233e-06
0.105,4.176114489092568e-06,4.176114786335357e-06,25.02991681928851,25.001070798663182,1.6197540672754634e-06
0.106,4.2536112793140326e-06,4.253611588295072e-06,25.03018690208048,25.00109066963802,1.6503194657005042e-06
0.107,4.331767898797479e-06,4.331768219516769e-06,25.03045671478232,25.00111070979984,1.6811596015262724e-06
0.108,4.410582949681383e-06,4.410583282517576e-06,25.03072625766406,25.001130918790388,1.7122741776470245e-06
0.109,4.4900550373858835e-06,4.490055382591415e-06,25.03099553099545,25.00115129625196,1.7436628975175017e-06
0.11,4.570182768845729e-06,4.570183126799253e-06,25.031264535045977,25.001171841827407,1.7753254647744437e-06
0.111,4.650964753267591e-06,4.6509651243477605e-06,25.031533270084854,25.001192555160113,1.8072615833794912e-06
0.112,4.732399602130057e-06,4.732399986463089e-06,25.031801736381027,25.001213435894012,1.8394709575724974e-06
0.113,4.814485928426329e-06,4.814486326895749e-06,25.03206993420317,25.001234483673585,1.8719532920619495e-06
0.114,4.897222348557489e-06,4.897222760910861e-06,25.0323378638197,25.001255698143854,1.904708291646394e-06
0.115,4.980607479303271e-06,4.980607906550337e-06,25.03260552549875,25.001277078950384,1.937735661689268e-06
0.116,5.064639941229941e-06,5.064640383370702e-06,25.032872919508193,25.00129862573928,1.9710351076455524e-06
0.117,5.149318355661074e-06,5.149318813074181e-06,25.033140046115637,25.001320338157196,2.004606335299448e-06
0.11800000000000001,5.234641347075685e-06,5.234641820266011e-06,25.033406905588414,25.00134221585132,2.0384490510497005e-06
0.11900000000000001,5.320607541341187e-06,5.320608030561166e-06,25.033673498193597,25.00136425846938,2.072562961199145e-06
0.12,5.407215566849347e-06,5.40721607260385e-06,25.033939824197986,25.001386465659646,2.1069477727139477e-06
0.121,5.4944640538851965e-06,5.494464576679096e-06,25.034205883868122,25.001408837070926,2.14160319270291e-06
0.122,5.58235163500569e-06,5.582352174965201e-06,25.03447167747027,25.001431372352563,2.1765289285129006e-06
0.123,5.670876944534826e-06,5.670877502291041e-06,25.03473720527043,25.00145407115444,2.211724688014095e-06
0.124,5.760038619194745e-06,5.7600391951263145e-06,25.035002467534348,25.001476933126977,2.2471901792214435e-06
0.125,5.849835297727068e-06,5.849835892338863e-06,25.035267464527486,25.001499957921123,2.2829251105798224e-06
0.126,5.9402656208929e-06,5.940266234563575e-06,25.035532196515057,25.001523145188372,2.318929190727713e-06
0.127,6.031328231599049e-06,6.031328864959692e-06,25.035796663762,25.001546494580744,2.3552021287823904e-06
